brand_name,model_name,condition_name,grade_name,gb_spec_name,colour_name,network_name,Count
Acer,"LIQUID E600",Working,"Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,1
Acer,"LIQUID E600","Non-working - Need Repair - Software","Insurance Grade","Not Applicable",Black,Unlocked,1
Acer,"LIQUID E600","Brand New","Insurance Grade","Not Applicable",Silver,Unlocked,1
Acer,"LIQUID EXPRESS E320","Non-working - Need Battery","Grade B - Good Condition","Not Applicable",Grey,Unlocked,2
Acer,"LIQUID EXPRESS E320","Non-working - Need Battery","Grade C - Acceptable Condition","Not Applicable",Grey,Unlocked,1
Acer,"LIQUID EXPRESS E320","Non-working - Need Battery","Grade A - Very Good Condition","Not Applicable",Grey,Unlocked,1
Acer,"LIQUID EXPRESS E320","Non-working - Need Battery","Grade B - Good Condition","Not Applicable",Grey,Unlocked,1
Acer,"LIQUID GLOW E330","Non-working - Need Battery","Grade C - Acceptable Condition","Not Applicable",Black,Unlocked,1
Acer,"LIQUID GLOW E330",Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,4
Acer,"LIQUID JADE S55","Brand New","Insurance Grade",8GB,White,Unlocked,1
Acer,"LIQUID JADE S55","Brand New","Insurance Grade",8GB,Black,Unlocked,2
Acer,"LIQUID JADE S55",Working,"Grade A - Very Good Condition",8GB,White,Unlocked,1
Acer,"LIQUID JADE Z","Brand New","Insurance Grade",8GB,Black,Unlocked,2
Acer,"LIQUID S1","Non-working - Need Battery","Not Graded",8GB,Black,"EE Network",2
Acer,"LIQUID Z110","Non-working - Need Battery","Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Acer,"LIQUID Z110",Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Acer,"LIQUID Z110",Working,"Grade B B2B","Not Applicable",Black,Unlocked,1
Acer,"LIQUID Z110",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,1
Acer,"LIQUID Z110",Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Acer,"LIQUID Z110","Non-working - Need Battery","Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Acer,"LIQUID Z110",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,1
Acer,"LIQUID Z110",Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Acer,"LIQUID Z110","Non-working - Need Repair - Software","Grade C - Acceptable Condition","Not Applicable",White,Unlocked,1
Acer,"LIQUID Z110",Working,"Grade A - Very Good Condition","Not Applicable",White,Unlocked,1
Acer,"LIQUID Z110","Non-working - Need Battery","Grade B - Good Condition","Not Applicable",Black,Unlocked,2
Acer,"LIQUID Z110",Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Acer,"LIQUID Z110",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,1
Acer,"LIQUID Z110","Non-working - Need Battery","Grade B - Good Condition","Not Applicable",Black,Unlocked,2
Acer,"LIQUID Z110","Non-working - Need Battery","Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Acer,"LIQUID Z110","Non-working - Need Battery","Grade B - Good Condition","Not Applicable",Black,Unlocked,1
Acer,"LIQUID Z110","Brand New","Insurance Grade","Not Applicable",Black,Unlocked,1
Acer,"LIQUID Z110","Brand New","Insurance Grade","Not Applicable",White,Unlocked,1
Acer,"LIQUID Z110",Working,"Grade B B2B","Not Applicable",Black,Unlocked,1
Acer,"LIQUID Z110","Non-working - Need Battery","Grade B - Good Condition","Not Applicable",Black,Unlocked,1
Acer,"LIQUID Z110",Working,"Grade A - Very Good Condition","Not Applicable",Black,Unlocked,1
Acer,"LIQUID Z110",Working,"Grade B - Good Condition","Not Applicable",Black,Unlocked,1
Acer,"liquid z2",Working,"Grade B - Good Condition",2GB,Black,Unlocked,1
Acer,"liquid z2",Working,"Grade A - Very Good Condition",2GB,Black,Unlocked,1
Acer,"liquid z2",Working,"Grade A - Very Good Condition",2GB,White,Unlocked,1
Acer,"liquid z2",Working,"Grade B - Good Condition",2GB,Black,Unlocked,1
Acer,"liquid z2",Working,"Grade A - Very Good Condition",2GB,Black,Unlocked,1
Acer,"liquid z2",Working,"Grade B - Good Condition",2GB,Black,Unlocked,1
Acer,"liquid z2",Working,"Grade A - Very Good Condition",2GB,Black,Unlocked,2
Acer,"liquid z2",Working,"Grade C - Acceptable Condition",2GB,Black,Unlocked,1
Acer,"LIQUID Z200","Non-working - Need Battery","Not Graded",4GB,Black,"EE Network",1
Acer,"LIQUID Z220",Working,"Grade A - Very Good Condition",8GB,Black,Unlocked,1
Acer,"LIQUID Z220",Working,"Grade C - Acceptable Condition",8GB,Black,Unlocked,1
Acer,"LIQUID Z220","Non-working - Need Battery","Not Graded",8GB,Black,"EE Network",1
Acer,"LIQUID Z220","Non-working - Need Battery","Not Graded",8GB,White,"EE Network",2
Acer,"liquid z4",Working,"Grade A - Very Good Condition",4GB,Black,Unlocked,2
Acer,"liquid z4","Brand New","Insurance Grade",4GB,Black,Unlocked,2
Acer,"liquid z4",Working,"Grade B - Good Condition",4GB,Black,Unlocked,1
Acer,"liquid z4",Working,"Grade A - Very Good Condition",4GB,Black,Unlocked,1
Acer,"liquid z4",Working,"Not Graded",4GB,Black,Unlocked,1
Acer,"liquid z4","Non-working - Need Battery","Grade A - Very Good Condition",4GB,White,Unlocked,1
Acer,"liquid z4","Non-working - Need Battery","Grade B - Good Condition",4GB,White,Damaged,1
Acer,"liquid z4","Non-working - Need Battery","Grade A - Very Good Condition",4GB,Black,Unlocked,1
Acer,"liquid z4",Non-working,Unknown,4GB,Pink,Damaged,1
Acer,"liquid z4","Non-working - Need Battery","Grade A - Very Good Condition",4GB,Pink,Unlocked,1
Acer,"liquid z4","Non-working - Need Battery","Grade A - Very Good Condition",4GB,Black,Unlocked,1
Acer,"LIQUID Z410","Non-working - Need Battery","Not Graded",8GB,Black,"EE Network",2
Acer,"LIQUID Z5",Working,"Grade A - Very Good Condition",4GB,Grey,Unlocked,1
Acer,"LIQUID Z5","Brand New","Insurance Grade",4GB,Black,Unlocked,1
